Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
1,1,odontosyllis_best|TRINITY_DN44444_c3_g1_i3,179.58,56,29,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),101648,odontosyllis_best|TRINITY_DN44444_c3_g1_i3
2,2,odontosyllis_best|TRINITY_DN44444_c3_g2_i1,176.90,58,28,1,Carbamidomethylation; Oxidation (M); Deamidation (NQ),92159,odontosyllis_best|TRINITY_DN44444_c3_g2_i1
3,3,odontosyllis_best|TRINITY_DN47012_c9_g1_i7,169.21,29,23,3,Oxidation (M); Deamidation (NQ),146915,odontosyllis_best|TRINITY_DN47012_c9_g1_i7
6,8,odontosyllis_best|TRINITY_DN42466_c0_g1_i1,115.17,14,7,7,,161876,odontosyllis_best|TRINITY_DN42466_c0_g1_i1
7,12,odontosyllis_best|TRINITY_DN43285_c4_g1_i1,114.37,18,10,10,Carbamidomethylation,165698,odontosyllis_best|TRINITY_DN43285_c4_g1_i1
8,38,odontosyllis_best|TRINITY_DN41904_c0_g1_i1,90.28,21,6,1,Carbamidomethylation,67611,odontosyllis_best|TRINITY_DN41904_c0_g1_i1
14,17,odontosyllis_best|TRINITY_DN44733_c12_g1_i5,89.55,6,4,4,,231768,odontosyllis_best|TRINITY_DN44733_c12_g1_i5
14,18,odontosyllis_best|TRINITY_DN44733_c12_g1_i1,89.55,5,4,4,,268361,odontosyllis_best|TRINITY_DN44733_c12_g1_i1
12,91,odontosyllis_best|TRINITY_DN10215_c0_g1_i1,80.59,27,4,4,Carbamidomethylation,46373,odontosyllis_best|TRINITY_DN10215_c0_g1_i1
11,4693,odontosyllis_best|TRINITY_DN45025_c5_g1_i1,75.26,11,5,5,,124378,odontosyllis_best|TRINITY_DN45025_c5_g1_i1
13,129,odontosyllis_best|TRINITY_DN42321_c2_g1_i3,74.53,2,3,3,Carbamidomethylation,312664,odontosyllis_best|TRINITY_DN42321_c2_g1_i3
13,140,odontosyllis_best|TRINITY_DN42321_c2_g1_i4,74.53,2,3,3,Carbamidomethylation,312779,odontosyllis_best|TRINITY_DN42321_c2_g1_i4
13,130,odontosyllis_best|TRINITY_DN42321_c2_g1_i16,74.53,2,3,3,Carbamidomethylation,312937,odontosyllis_best|TRINITY_DN42321_c2_g1_i16
13,135,odontosyllis_best|TRINITY_DN42321_c2_g1_i18,74.53,2,3,3,Carbamidomethylation,329076,odontosyllis_best|TRINITY_DN42321_c2_g1_i18
13,136,odontosyllis_best|TRINITY_DN42321_c2_g1_i13,74.53,2,3,3,Carbamidomethylation,329191,odontosyllis_best|TRINITY_DN42321_c2_g1_i13
13,137,odontosyllis_best|TRINITY_DN42321_c2_g1_i15,74.53,2,3,3,Carbamidomethylation,329349,odontosyllis_best|TRINITY_DN42321_c2_g1_i15
13,131,odontosyllis_best|TRINITY_DN42321_c2_g1_i19,74.53,2,3,3,Carbamidomethylation,314768,odontosyllis_best|TRINITY_DN42321_c2_g1_i19
13,132,odontosyllis_best|TRINITY_DN42321_c2_g1_i7,74.53,2,3,3,Carbamidomethylation,314883,odontosyllis_best|TRINITY_DN42321_c2_g1_i7
13,134,odontosyllis_best|TRINITY_DN42321_c2_g1_i1,74.53,2,3,3,Carbamidomethylation,315042,odontosyllis_best|TRINITY_DN42321_c2_g1_i1
13,133,odontosyllis_best|TRINITY_DN42321_c2_g1_i8,74.53,2,3,3,Carbamidomethylation,314954,odontosyllis_best|TRINITY_DN42321_c2_g1_i8
13,138,odontosyllis_best|TRINITY_DN42321_c2_g1_i11,74.53,2,3,3,Carbamidomethylation,331180,odontosyllis_best|TRINITY_DN42321_c2_g1_i11
13,139,odontosyllis_best|TRINITY_DN42321_c2_g1_i20,74.53,2,3,3,Carbamidomethylation,331453,odontosyllis_best|TRINITY_DN42321_c2_g1_i20
16,27,odontosyllis_best|TRINITY_DN44735_c5_g1_i1,67.17,6,3,3,Carbamidomethylation,144154,odontosyllis_best|TRINITY_DN44735_c5_g1_i1
